@relation InstanceResultListener

@attribute Key_Dataset {clean_lk_2005_0-10}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.bayes.NaiveBayes}
@attribute Key_Scheme_options {''}
@attribute Key_Scheme_version_ID {5995231201785697655}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

clean_lk_2005_0-10,1,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170523.1206,846,94,69,25,0,73.404255,26.595745,0,0.466152,0.271621,0.394895,54.348765,78.996849,93.969302,62.333139,31.636163,0.999673,0.663118,0.336555,43.883563,0.466846,4389.783155,0.652174,30,0.1875,9,0.8125,39,0.347826,16,0.769231,0.652174,0.705882,0.471448,0.875,0.871518,0.734043,0.269369,0.730631,0.265957,0.738521,0.734043,0.732129,0.471448,0.875,0.883667,0.731582,0.734043,0.004,0.002,0,0,0,0,9711,305311,36847,98.93617,82.446809,?
clean_lk_2005_0-10,1,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170523.1206,846,94,76,18,0,80.851064,19.148936,0,0.615804,0.244134,0.393815,48.848783,78.78086,93.969302,73.948803,20.020499,0.999673,0.786689,0.212984,49.610227,0.527768,4962.635777,0.73913,34,0.125,6,0.875,42,0.26087,12,0.85,0.73913,0.790698,0.620917,0.866848,0.847978,0.808511,0.19438,0.80562,0.191489,0.813121,0.808511,0.807463,0.620917,0.866848,0.867068,0.807114,0.808511,0.005,0.001,0,0,0,0,9711,305311,36847,95.744681,76.595745,?
clean_lk_2005_0-10,1,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170523.1206,846,94,64,30,0,68.085106,31.914894,0,0.360834,0.283777,0.413126,56.781096,82.64386,93.969302,70.976648,22.992655,0.999673,0.755071,0.244603,40.790851,0.433945,4080.411334,0.652174,30,0.291667,14,0.708333,34,0.347826,16,0.681818,0.652174,0.666667,0.361162,0.84058,0.844643,0.680851,0.320344,0.679656,0.319149,0.68089,0.680851,0.680562,0.361162,0.84058,0.851077,0.680272,0.680851,0.004,0.001,0,0,0,0,9711,305311,36847,97.87234,79.787234,?
clean_lk_2005_0-10,1,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170523.1206,846,94,75,19,0,79.787234,20.212766,0,0.595745,0.26487,0.428229,52.998032,85.66525,93.969302,110.03249,-16.063187,0.999673,1.170558,-0.170885,45.457703,0.483593,4547.248338,0.804348,37,0.208333,10,0.791667,38,0.195652,9,0.787234,0.804348,0.795699,0.59588,0.814312,0.787641,0.797872,0.201858,0.798142,0.202128,0.798099,0.797872,0.797895,0.59588,0.814312,0.783176,0.797849,0.797872,0.004,0.002,0,0.015625,0,15.625,9711,305311,36847,91.489362,74.468085,?
clean_lk_2005_0-10,1,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170523.1206,846,94,69,25,0,73.404255,26.595745,0,0.467603,0.287174,0.441498,57.460789,88.319583,93.969302,275.808181,-181.838879,0.999673,2.93413,-1.934456,40.471736,0.43055,4048.489536,0.717391,33,0.25,12,0.75,36,0.282609,13,0.733333,0.717391,0.725275,0.467709,0.8125,0.766131,0.734043,0.266651,0.733349,0.265957,0.734028,0.734043,0.733952,0.467709,0.8125,0.800892,0.733771,0.734043,0.004,0.001,0,0,0,0,9711,305311,36847,94.680851,76.595745,?
clean_lk_2005_0-10,1,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170523.1206,846,94,75,19,0,79.787234,20.212766,0,0.59611,0.252006,0.399463,50.423893,79.910785,93.969302,80.319209,13.650094,0.999673,0.85446,0.145214,48.021647,0.510869,4803.726103,0.826087,38,0.229167,11,0.770833,37,0.173913,8,0.77551,0.826087,0.8,0.597326,0.861866,0.84695,0.797872,0.200952,0.799048,0.202128,0.799363,0.797872,0.797804,0.597326,0.861866,0.859365,0.797849,0.797872,0.004,0.002,0,0,0,0,9711,305311,36847,94.680851,78.191489,?
clean_lk_2005_0-10,1,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170523.1206,846,94,73,21,0,77.659574,22.340426,0,0.553191,0.257317,0.392372,51.486642,78.492258,93.969302,247.393002,-153.4237,0.999673,2.63184,-1.632167,46.65987,0.496382,4667.50413,0.782609,36,0.229167,11,0.770833,37,0.217391,10,0.765957,0.782609,0.774194,0.553317,0.862319,0.86442,0.776596,0.223154,0.776846,0.223404,0.776822,0.776596,0.776621,0.553317,0.862319,0.851078,0.77657,0.776596,0.005,0.038,0.015625,0,15.625,0,9711,305311,36847,97.87234,80.319149,?
clean_lk_2005_0-10,1,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170523.1206,846,94,69,25,0,73.404255,26.595745,0,0.46712,0.28806,0.430809,57.638064,86.181345,93.969302,80.053014,13.916288,0.999673,0.851628,0.148046,40.511922,0.430978,4052.509389,0.695652,32,0.229167,11,0.770833,37,0.304348,14,0.744186,0.695652,0.719101,0.468078,0.828351,0.836439,0.734043,0.267557,0.732443,0.265957,0.734639,0.734043,0.73359,0.468078,0.828351,0.838632,0.733288,0.734043,0.01,0.006,0.015625,0,15.625,0,9711,305311,36847,94.680851,79.255319,?
clean_lk_2005_0-10,1,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170523.1206,846,94,73,21,0,77.659574,22.340426,0,0.552381,0.262756,0.399551,52.574961,79.928315,93.969302,74.746944,19.222359,0.999673,0.79518,0.204493,46.192211,0.491407,4620.723027,0.73913,34,0.1875,9,0.8125,39,0.26087,12,0.790698,0.73913,0.764045,0.553514,0.854167,0.857337,0.776596,0.224965,0.775035,0.223404,0.777425,0.776596,0.776215,0.553514,0.854167,0.854609,0.775962,0.776596,0.01,0.003,0,0.015625,0,15.625,9711,305311,36847,96.808511,80.319149,?
clean_lk_2005_0-10,1,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170523.1206,846,94,73,21,0,77.659574,22.340426,0,0.553999,0.281374,0.432142,56.300221,86.447962,93.969302,464.255144,-370.285842,0.999673,4.938885,-3.939211,42.491384,0.452036,4250.519978,0.826087,38,0.270833,13,0.729167,35,0.173913,8,0.745098,0.826087,0.783505,0.557149,0.819293,0.785308,0.776596,0.221342,0.778658,0.223404,0.780258,0.776596,0.776216,0.557149,0.819293,0.792196,0.776368,0.776596,0.005,0.001,0,0,0,0,9711,305311,36847,93.617021,76.595745,?
clean_lk_2005_0-10,2,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170523.1206,846,94,74,20,0,78.723404,21.276596,0,0.574661,0.242504,0.385633,48.522783,77.144127,93.969302,264.40099,-170.431688,0.999673,2.812776,-1.813103,49.764148,0.529406,4978.032811,0.804348,37,0.229167,11,0.770833,37,0.195652,9,0.770833,0.804348,0.787234,0.575181,0.865489,0.79553,0.787234,0.212053,0.787947,0.212766,0.787947,0.787234,0.787234,0.575181,0.865489,0.841616,0.787234,0.787234,0.004,0.001,0.015625,0,15.625,0,9711,305311,36847,95.744681,77.659574,?
clean_lk_2005_0-10,2,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170523.1206,846,94,71,23,0,75.531915,24.468085,0,0.509305,0.288052,0.424202,57.636463,84.859549,93.969302,90.198501,3.770801,0.999673,0.959559,0.040115,41.343843,0.439828,4135.728525,0.695652,32,0.1875,9,0.8125,39,0.304348,14,0.780488,0.695652,0.735632,0.512228,0.834692,0.770142,0.755319,0.247167,0.752833,0.244681,0.757694,0.755319,0.754345,0.512228,0.834692,0.824669,0.753955,0.755319,0.004,0.001,0,0,0,0,9711,305311,36847,94.680851,80.319149,?
clean_lk_2005_0-10,2,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170523.1206,846,94,71,23,0,75.531915,24.468085,0,0.510638,0.280794,0.428173,56.184202,85.654027,93.969302,78.825953,15.143349,0.999673,0.838574,0.161099,42.367629,0.450719,4238.140474,0.76087,35,0.25,12,0.75,36,0.23913,11,0.744681,0.76087,0.752688,0.510754,0.830616,0.851238,0.755319,0.24445,0.75555,0.244681,0.755545,0.755319,0.755347,0.510754,0.830616,0.836027,0.755291,0.755319,0.004,0.001,0.015625,0,15.625,0,9711,305311,36847,97.87234,80.851064,?
clean_lk_2005_0-10,2,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170523.1206,846,94,77,17,0,81.914894,18.085106,0,0.637642,0.211598,0.34969,42.338735,69.953933,93.969302,56.263972,37.70533,0.999673,0.598553,0.401121,55.617058,0.591671,5563.514156,0.782609,36,0.145833,7,0.854167,41,0.217391,10,0.837209,0.782609,0.808989,0.638949,0.914402,0.912684,0.819149,0.182374,0.817626,0.180851,0.820211,0.819149,0.818841,0.638949,0.914402,0.916798,0.818636,0.819149,0.004,0.002,0,0,0,0,9711,305311,36847,97.87234,76.595745,?
clean_lk_2005_0-10,2,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170523.1206,846,94,71,23,0,75.531915,24.468085,0,0.509305,0.268571,0.414906,53.738548,82.999978,93.969302,271.508458,-177.539156,0.999673,2.888388,-1.888714,44.168491,0.469878,4418.285204,0.695652,32,0.1875,9,0.8125,39,0.304348,14,0.780488,0.695652,0.735632,0.512228,0.850091,0.833204,0.755319,0.247167,0.752833,0.244681,0.757694,0.755319,0.754345,0.512228,0.850091,0.827959,0.753955,0.755319,0.004,0.002,0.015625,0,15.625,0,9711,305311,36847,95.744681,79.255319,?
clean_lk_2005_0-10,2,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170523.1206,846,94,76,18,0,80.851064,19.148936,0,0.616152,0.246835,0.394936,49.389249,79.005062,93.969302,71.918324,22.050978,0.999673,0.765089,0.234585,49.111289,0.522461,4912.72575,0.76087,35,0.145833,7,0.854167,41,0.23913,11,0.833333,0.76087,0.795455,0.618406,0.866848,0.857923,0.808511,0.193474,0.806526,0.191489,0.81042,0.808511,0.807988,0.618406,0.866848,0.866434,0.807727,0.808511,0.004,0.002,0,0,0,0,9711,305311,36847,96.808511,79.255319,?
