@relation clean_lk_0905_0-5

@attribute Champ1WR numeric
@attribute Champ2WR numeric
@attribute Champ3WR numeric
@attribute Champ4WR numeric
@attribute Champ5WR numeric
@attribute Champ6WR numeric
@attribute Champ7WR numeric
@attribute Champ8WR numeric
@attribute Champ9WR numeric
@attribute Champ10WR numeric
@attribute PlayerChamp1WR numeric
@attribute PlayerChamp2WR numeric
@attribute PlayerChamp3WR numeric
@attribute PlayerChamp4WR numeric
@attribute PlayerChamp5WR numeric
@attribute PlayerChamp6WR numeric
@attribute PlayerChamp7WR numeric
@attribute PlayerChamp8WR numeric
@attribute PlayerChamp9WR numeric
@attribute PlayerChamp10WR numeric
@attribute Player1ChampTimes numeric
@attribute Player2ChampTimes numeric
@attribute Player3ChampTimes numeric
@attribute Player4ChampTimes numeric
@attribute Player5ChampTimes numeric
@attribute Player6ChampTimes numeric
@attribute Player7ChampTimes numeric
@attribute Player8ChampTimes numeric
@attribute Player9ChampTimes numeric
@attribute Player10ChampTimes numeric
@attribute Player1Ranking numeric
@attribute Player2Ranking numeric
@attribute Player3Ranking numeric
@attribute Player4Ranking numeric
@attribute Player5Ranking numeric
@attribute Player6Ranking numeric
@attribute Player7Ranking numeric
@attribute Player8Ranking numeric
@attribute Player9Ranking numeric
@attribute Player10Ranking numeric
@attribute Winner {Team1,Team2}

@data
0.499544,0.516294,0.507339,0.5363,0.528162,0.501402,0.499179,0.512546,0.482865,0.488523,0.333333,0.60177,0.596939,0.580488,0.571429,0.666667,0.555556,0.60479,0.5,0.466667,6,226,392,205,245,51,9,167,20,45,41,35,35,35,35,41,35,35,35,35,Team1
0.504341,0.510211,0.529153,0.534171,0.497608,0.501402,0.489855,0.482437,0.464029,0.504375,0.423077,0.875,0.690722,0.5,0.5,0.666667,0.540541,0.47619,1,1,26,24,194,6,14,51,37,21,1,2,41,41,41,41,35,41,41,41,35,41,Team2
0.482558,0.518457,0.489224,0.504341,0.487073,0.497608,0.424597,0.512191,0.513564,0.521691,0.684211,0.578947,0.555556,0.57732,0.555556,0,0.545455,0.466667,0,0.651163,19,38,18,97,9,1,11,15,2,86,41,41,41,41,41,35,41,35,35,41,Team1
0.472718,0.514608,0.503686,0.497608,0.517475,0.488523,0.500455,0.529153,0.512191,0.489855,0.582375,0.666667,0.2,0.545455,0.578378,0.551724,0.666667,0.690722,0.625,0.2,261,9,5,99,185,29,12,194,8,10,35,41,35,35,35,41,41,41,41,41,Team2
0.508782,0.501788,0.515663,0.503686,0.483625,0.488523,0.503818,0.51141,0.501402,0.489224,0.493827,0.54902,0.588957,0.580508,0.5,0.666667,0.607843,0.558824,0.666667,0.724138,81,102,163,236,22,30,51,34,51,29,35,35,41,41,41,41,41,35,41,35,Team2
0.482865,0.490155,0.458762,0.504341,0.497608,0.51141,0.488523,0.501402,0.514608,0.489224,0.6,0.59375,0.578947,0.5,0.486486,0.333333,0.55,0.666667,0.439024,0.724138,10,32,57,16,37,3,20,51,41,29,35,35,41,41,41,41,41,41,35,35,Team1
0.489855,0.508782,0.500345,0.497346,0.501402,0.504341,0.482437,0.517475,0.503818,0.499179,0.521739,0.55,0.428571,0.589189,0.666667,0.621212,0.72,0.4,0.535714,0.909091,23,20,14,370,51,132,100,15,140,11,35,35,41,41,41,41,41,35,41,35,Team1
0.503818,0.489224,0.471665,0.545204,0.501221,0.472718,0.501402,0.465062,0.513564,0.497608,0.535714,0.724138,0.545455,0.833333,0.6,0.5,0.666667,0,0,0.612069,140,29,55,6,5,22,51,5,1,116,41,35,41,41,35,29,41,35,35,35,Team1
0.529738,0.517475,0.503686,0.5363,0.488523,0.51141,0.501402,0.507339,0.489224,0.483625,0.545455,0,0.548387,0.648352,0.46875,0.333333,0.666667,0.531073,0.666667,0.604651,33,1,31,182,32,3,51,177,30,43,41,35,35,35,41,41,41,35,35,41,Team2
0.504375,0.5363,0.497608,0.488523,0.517475,0.498311,0.483625,0.489855,0.493698,0.504341,0.666667,0.551402,0.777778,0.429907,0.622642,0.490566,0.540541,0.537037,0.571429,0.603175,30,428,9,107,53,53,37,54,14,126,35,35,35,35,41,29,35,41,35,41,Team1
0.497608,0.483559,0.507339,0.52161,0.501402,0.508782,0.517475,0.482865,0.504341,0.529738,0.612069,1,0.572519,0.676056,0.666667,0,0.622951,0.5,0.603175,0.639344,116,1,131,71,51,2,61,6,126,61,35,35,29,41,41,41,35,41,41,41,Team1
0.489855,0.488523,0.518457,0.493698,0.505284,0.501402,0.470806,0.503818,0.51141,0.504341,0.391304,0.538462,0.125,0.694444,0.723404,0.666667,0.578947,0.666667,0.5,0.5,23,91,8,36,47,51,19,63,2,16,41,41,41,41,41,41,35,41,41,41,Team2
0.508079,0.470806,0.517475,0.51141,0.504341,0.482437,0.489855,0.518457,0.499153,0.483559,0.567766,0.470588,0.833333,0.578313,0.621212,0.368421,0.555882,0.583333,0.333333,0.357143,273,34,6,83,132,38,340,24,3,14,35,41,35,29,41,29,35,41,35,35,Team1
0.482865,0.497608,0.504375,0.504341,0.501402,0.424597,0.498311,0.529738,0.508079,0.488523,0.631579,0.677419,1,0.588235,0.666667,0.461538,0.333333,0.576923,0.567766,0.75,19,62,1,51,51,13,3,130,273,4,35,29,35,35,41,41,28,28,35,41,Team1
0.519313,0.504341,0.508782,0.482558,0.489224,0.494553,0.500345,0.499544,0.501788,0.51141,0.666667,0.478873,0.6875,0.640625,0.375,0,0.516129,0.4375,0.4,0.375,6,71,32,64,8,2,62,16,20,8,35,28,41,35,28,35,35,41,35,28,Team1
0.491436,0.489855,0.507339,0.508782,0.515663,0.497608,0.508079,0.489224,0.517475,0.488523,0.6,0.545977,0.645833,0.875,0.492063,0.545455,0.567766,0.519231,0.622642,0.636364,20,174,48,16,189,11,273,52,53,33,41,41,41,35,28,35,35,35,41,35,Team1
0.488523,0.505284,0.510877,0.503818,0.499544,0.501402,0.489855,0.489224,0.529738,0.507339,0.554348,0.4,0.536232,0.557143,0.333333,0.666667,0.564103,0.666667,0.561538,0.645833,92,5,69,70,12,51,78,6,130,48,35,41,41,35,41,41,35,35,41,41,Team2
0.49935,0.489224,0.509036,0.508782,0.507339,0.500455,0.470806,0.504341,0.519313,0.510211,0.571429,0,0.537975,0.633803,0.447368,0.625,0.454545,0.621212,0.777778,0.4,42,1,158,71,38,64,11,132,9,5,41,35,35,41,35,41,41,41,41,35,Team2
0.528813,0.507339,0.489855,0.51141,0.458762,0.459141,0.483625,0.497346,0.518457,0.494597,0.56,0.645833,0.530612,0.714286,0.537736,0.666667,0.5,0.589189,0.583333,0.636364,25,48,49,14,106,42,22,370,24,11,35,41,41,41,41,41,41,41,41,35,Team2
0.482437,0.458762,0.504084,0.464029,0.494553,0.501788,0.514608,0.499179,0.500355,0.512191,0.521739,0.482353,0.666667,0.470588,0.666667,0.333333,0.563025,0.777778,0.5,0.636364,46,85,12,17,24,3,119,9,36,22,35,41,41,35,41,41,41,41,41,41,Team2
0.508782,0.515663,0.501788,0.494553,0.499544,0.484698,0.497346,0.490155,0.519313,0.458762,0.545455,0.581081,0.543103,0.4,0.444444,0.2,0.568966,0.472222,0.4,0.75,22,148,116,25,27,5,58,36,15,4,35,41,41,41,41,41,41,41,35,35,Team1
0.497346,0.499544,0.466341,0.512191,0.497608,0.508782,0.489224,0.482437,0.504341,0.489855,0.589189,0.2,0.68,0.75,0.366667,0.333333,0.5,0.571429,0.57732,0.540541,370,5,25,28,30,6,2,63,97,37,41,41,35,41,41,35,41,41,41,41,Team1
0.521691,0.504341,0.514608,0.512191,0.489855,0.515663,0.52161,0.464029,0.517475,0.513564,0.651163,0.603175,0.563025,0.576923,0.553571,0.581081,0.676056,0.470588,0.535354,0.4,86,126,119,26,56,148,71,17,99,10,41,41,41,41,35,41,41,35,41,41,Team1
0.529738,0.483625,0.499544,0.489855,0.504341,0.520383,0.503818,0.500215,0.458762,0.482437,0.560606,0.5,0.52,0.5,0.833333,1,1,1,0.452381,0.685714,66,22,25,16,30,8,1,2,42,35,41,41,35,35,35,41,41,35,41,41,Team2
0.501788,0.52161,0.494553,0.499544,0.489855,0.478395,0.545204,0.528813,0.504341,0.517475,0.578947,0.545455,0.6,0.666667,0,0.55,0.25,0.571429,0.744444,0.543147,57,22,10,12,1,20,4,14,90,197,35,35,35,35,41,41,35,35,41,35,Team2
0.519739,0.503686,0.505888,0.471665,0.507339,0.504341,0.508782,0.489224,0.491436,0.500455,0.384615,0.595745,0.545455,0.610169,0.5,0.744444,0.545455,0.5,0.670807,0.6,13,235,11,59,18,90,11,14,161,35,35,29,35,35,41,41,35,35,35,41,Team2
0.488523,0.491436,0.494597,0.471665,0.500345,0.567365,0.529738,0.494553,0.508782,0.500455,0.52,0.441176,0.606061,0.532787,0.574257,0.833333,0.608696,0.6,0.555556,0.578947,100,34,198,122,101,6,23,20,36,38,41,35,41,41,35,41,35,41,35,41,Team1
0.49935,0.458762,0.500455,0.503686,0.504341,0.493698,0.500215,0.497171,0.489855,0.507339,0.611111,0.5,0.571429,0.582418,0.744444,0.454545,0.642424,0.375,0.545977,0.5625,18,18,49,364,90,11,165,8,174,160,35,41,41,41,41,41,41,35,41,41,Team1
0.484698,0.496717,0.489855,0.505284,0.508782,0.493698,0.451178,0.489224,0.503686,0.517475,1,0.54417,0.6,0.684211,0.571429,0.578947,0.478261,0.4,0.582418,0.333333,1,283,10,19,28,19,23,10,364,3,41,35,41,41,41,41,41,41,41,41,Team1
0.508782,0.510877,0.504341,0.520383,0.489855,0.517475,0.504084,0.482558,0.501788,0.472718,0.6875,0.708333,0.744444,0.576923,0.6,0.5,0.572727,0.666667,0.526316,0.6375,32,48,90,26,5,18,110,3,57,160,41,35,41,35,35,35,35,41,41,35,Team1
0.489855,0.493698,0.501788,0.489224,0.46727,0.503686,0.52161,0.499544,0.504341,0.500204,0.47619,0.555556,0.652174,0.576923,0.1,0.598131,0.571429,0.5,0.615385,0.725,21,18,46,26,10,214,7,18,195,40,35,41,41,35,35,41,35,41,41,41,Team2
0.482437,0.465869,0.517475,0.451178,0.518457,0.504341,0.499544,0.482865,0.534171,0.529738,0.622222,0.666667,0.590909,0.574468,0.566667,0.744444,0.5,0.704545,0.5,0.556989,45,3,242,47,30,90,6,44,36,465,41,41,41,41,41,41,41,41,41,35,Team1
0.508782,0.507339,0.503818,0.471665,0.500215,0.503686,0.497346,0.498311,0.494553,0.444348,0.493827,0.533742,0.4,0.518519,0.616667,0.638235,0.428571,0.590062,0.666667,0.578947,81,163,5,54,60,340,7,161,18,57,35,35,41,35,35,41,41,35,41,35,Team2
0.503818,0.504341,0.487073,0.486561,0.458762,0.501788,0.470806,0.503686,0.517475,0.51141,0.444444,0.368421,0.552632,0.5,0.636364,0.54902,0.5,0.728972,0.5,0.558824,45,57,38,8,55,102,2,107,8,34,41,41,35,41,41,35,41,41,35,35,Team1
0.501402,0.501221,0.500455,0.505888,0.567365,0.503686,0.504341,0.498311,0.49935,0.486561,0.625,0.623188,0.586207,0.538462,0.833333,0.728972,0.666667,0.416667,0.571429,0.4,32,69,29,13,6,107,9,24,7,10,41,41,41,41,41,41,35,35,41,41,Team1
0.508782,0.424597,0.46727,0.504341,0.528162,0.501788,0.490155,0.498311,0.489855,0.482865,0.625,0.52,0.625,0.744444,0.571429,0.727273,0.722222,0.666667,0.539683,0.764706,8,25,8,90,245,11,18,3,252,17,35,41,35,41,35,41,35,41,41,41,Team2
0.567365,0.503818,0.508782,0.500215,0.513564,0.517475,0.495307,0.489855,0.494553,0.504084,0.651163,0.535714,0.52459,0.517241,0.333333,0.678571,0.617647,0.588235,0.486486,0.6875,86,28,61,29,3,28,102,17,37,48,35,35,41,35,41,41,41,29,35,41,Team2
0.424597,0.482865,0.517475,0.507339,0.489855,0.491436,0.489224,0.508782,0.494597,0.504341,0.694118,0.454545,0.46875,0.596939,0.5,0.535714,0.666667,0.571429,0.552901,0.744444,85,11,32,392,4,56,75,21,293,90,35,35,35,35,41,35,35,35,29,41,Team1
0.424597,0.567365,0.529738,0.512191,0.499544,0.501423,0.489855,0.494553,0.504341,0.508327,0.452381,0,0.588235,0.529412,0.333333,0.530303,0.5625,0.4,0.744444,0.571429,42,1,17,17,6,66,96,5,90,7,35,35,35,41,41,28,35,35,41,41,Team2
0.529738,0.483625,0.499544,0.520383,0.478395,0.503818,0.504341,0.489855,0.489224,0.517475,0.545455,0.714286,0.444444,0.529412,0.625,0.818182,0.744444,0.56,0.724138,1,33,7,27,17,16,55,90,50,29,1,41,35,41,35,41,41,41,35,35,41,Team2
0.495307,0.470806,0.501402,0.528162,0.494553,0.499544,0.46727,0.52161,0.451178,0.504341,0.5,0.52381,0.666667,0.5,0.514286,0.294118,0.5,0.5,0.518519,0.744444,32,21,12,46,35,17,12,20,27,90,41,41,41,41,35,41,35,41,35,41,Team2
0.482437,0.504341,0.503686,0.499544,0.529738,0.512191,0.458762,0.497346,0.489855,0.52161,0.485714,0.583333,0.555556,0.444444,0.533333,0.508475,0.544218,0.636364,0.615385,0.75,105,36,18,27,60,59,147,66,13,24,41,35,29,28,35,41,41,29,35,35,Team2
